UniProt_ID	Modification
HDGR2	#
A1CF	RNA deamination
ACTB	#
ACL6A	#
ACL6B	#
ARP3B	#
ARP5	#
ARP6	#
ARP8	#
ADNP	#
AEBP2	Histone methylation
AICDA	DNA demethylation
AIRE	#, #
ALKB1	#
ANR32	#
AN32A	#
AN32B	#
AN32E	#, #
APBB1	#
APEX1	DNA demethylation
ABEC1	DNA demethylation, mRNA editing
ABEC2	DNA demethylation, mRNA editing
ABC3A	DNA demethylation, mRNA editing
ABC3B	DNA demethylation, mRNA editing
ABC3C	DNA demethylation, mRNA editing
ABC3D	DNA demethylation, mRNA editing
ABC3F	DNA demethylation, mRNA editing
ABC3G	DNA demethylation, mRNA editing
ABC3H	DNA demethylation, mRNA editing
ARI1A	#
ARI1B	Histone ubiquitination
ARID2	#
ARI4A	Histone acetylation
ARI4B	Histone acetylation
BMAL1	#, TF activator
ARRB1	#
ASF1A	#
ASF1B	#
ASH1L	Histone methylation
ASH2L	Histone methylation
ASXL1	Histone deubiquitination, #
ASXL2	#
ASXL3	#, #
ATAD2	#
ATD2B	#
ATF2	Histone acetylation, TF activator
MCAF1	Histone methylation
ATM	Histone phosphorylation
ATN1	#
ATR	Histone phosphorylation
ATRX	#
ATX7	Histone acetylation
AT7L3	Histone deubiquitination
AURKA	Histone phosphorylation
AURKB	Histone phosphorylation
AURKC	Histone phosphorylation
BABA1	Histone deubiquitination
BAHD1	#
BANP	Histone acetylation
BAP1	Histone deubiquitination, #
BARD1	Histone ubiquitination
BAZ1A	#
BAZ1B	Histone phosphorylation
BAZ2A	#, Histone deacetylation
BAZ2B	#
BCOR	#
BCORL	Histone deacetylation
BMI1	#
BPTF	#
BRCA1	Histone acetylation, Histone methylation, Histone ubiquitination, TF activator, TF repressor
BRCA2	Histone acetylation
BRCC3	Histone deubiquitination
BRD1	#
BRD2	#
BRD3	#
BRD4	#
BRD7	#
BRD8	#
BRD9	#
BRDT	#
BRE	Histone ubiquitination
BRMS1	#
BRM1L	Histone deacetylation
BRPF1	#
BRPF3	Histone acetylation
BRWD1	#
BRWD3	#
BUB1	Histone phosphorylation
EMSY	Histone methylation
NO66	Histone methylation
BAP18	#
CARM1	Histone methylation
CBX1	#
CBX2	#
CBX3	#
CBX4	#
CBX5	#
CBX6	#
CBX7	#
CBX8	#
SGF29	#
CDC6	#
CDC73	Histone methylation
CDK1	Histone phosphorylation
CDK17	Histone phosphorylation
CDK2	Histone phosphorylation
CDK3	Histone phosphorylation
CDK5	Histone phosphorylation
CDK7	Histone phosphorylation
CDK9	#
CDY1	Histone acetylation
CDY1	Histone acetylation
CDY2	Histone acetylation
CDY2	Histone acetylation
CDYL1	Histone acetylation
CDYL2	#
CECR2	#
CENPC	DNA methylation
CAF1A	#
CAF1B	#
CHD1	#
CHD1L	#
CHD2	#
CHD3	#
CHD4	#
CHD5	#
CHD6	#
CHD7	#
CHD8	#
CHD9	#
CHK1	Histone phosphorylation
CHRC1	#
CHTOP	#
IKKA	Histone phosphorylation
CIR1	#
CTRO	Histone methylation, Histone phosphorylation
ICLN	Histone methylation
CLOCK	Histone acetylation
CRUM2	#
CBP	Histone acetylation
CSK21	#
CSR2B	Histone acetylation
CTBP1	#
CTBP2	Histone methylation
CTCF	#, TF activator
CTCFL	#
CTR9	#
CUL1	#
CUL2	#
CUL3	Histone ubiquitination
CUL4A	Histone ubiquitination
CUL4B	Histone ubiquitination
CUL5	DNA methylation
CXXC1	#, #
DAPK3	Histone phosphorylation
DAXX	#
DDB1	Histone ubiquitination
DDB2	Histone ubiquitination
DDX21	#
DDX50	#
DEK	#
DMAP1	#
DNJC1	Histone acetylation, Histone deacetylation
DNJC2	#
DND1	#
DNMT1	DNA methylation
DNM3A	DNA methylation
DNM3B	DNA methylation
DNM3L	#
TDIF2	#
DOT1L	Histone methylation
DPF1	#
REQU	#
DPF3	#
DPPA3	#
DPY30	Histone methylation
NC2B	#
DTX3L	Histone ubiquitination
DZIP3	Histone ubiquitination
E2F6	TF repressor
EED	#
EHMT1	Histone methylation
EHMT2	Histone methylation
EID1	Histone acetylation
EID2	Histone acetylation
EID2B	Histone acetylation
ELP2	Histone acetylation
ELP3	Histone acetylation
ELP4	Histone acetylation
ELP5	Histone acetylation
ELP6	Histone acetylation
ENY2	Histone ubiquitination
EP300	Histone acetylation
EP400	#, Histone acetylation
EPC1	#
EPC2	#
ERBB4	#
ERCC6	#
EXOS1	#, RNA degradation
EXOS2	#, RNA degradation
EXOS3	#, RNA degradation
EXOS4	#, RNA degradation
EXOS5	#, RNA degradation
EXOS6	#, RNA degradation
EXOS7	#, RNA degradation
EXOS8	#, RNA degradation
EXOS9	#, RNA degradation
EYA1	Histone phosphorylation
EYA2	Histone phosphorylation
EYA3	Histone phosphorylation
EYA4	Histone phosphorylation
EZH1	Histone methylation, #
EZH2	Histone methylation, #
F175A	#
F175B	Histone ubiquitination
FBRL	Histone methylation
FBRS	#
FBSL	#
FOXA1	#, #
FOXO1	#
FOXP1	#
FOXP2	#
FOXP3	#
FOXP4	#
GA45A	#
GA45B	#
GA45G	#
GATD1	#
P66A	#
P66B	#
GFI1	#
GFI1B	#
GLYR1	#
GSE1	Histone acetylation
HASP	Histone phosphorylation
GTF2I	#
TF3C4	Histone acetylation
HAT1	Histone acetylation
HCFC1	#
HCFC2	Histone methylation, Histone acetylation
HDAC1	Histone acetylation
HDA10	Histone acetylation
HDA11	Histone acetylation
HDAC2	Histone acetylation
HDAC3	Histone acetylation
HDAC4	Histone acetylation
HDAC5	Histone acetylation
HDAC6	Histone acetylation
HDAC7	Histone acetylation
HDAC8	Histone acetylation
HDAC9	Histone acetylation
HDGF	#, TF repressor
HELLS	#
HIF1N	Histone acetylation
HINFP	#, TF activator, TF repressor
HIRA	#
HIRP3	#
HJURP	#
BPL1	#
HLTF	#
HM20A	#
HM20B	#
HMGB1	#
HMGN1	#
HMGN2	#
HMGN3	#
HMGN4	#
HMGN5	#
HP1B3	#
HAIR	Histone methylation
HSP71	Histone methylation, Histone acetylation
HSP71	Histone methylation, Histone acetylation
HUWE1	Histone ubiquitination
ELP1	#
IKZF1	#, #
IKZF3	#
ING1	#
ING2	#
ING3	#, Histone acetylation
ING4	#
ING5	#
INO80	#
IN80B	#
IN80C	#
IN80D	#
IN80E	#
JADE1	Histone acetylation
JADE2	Histone acetylation
JADE3	Histone acetylation
JAK2	Histone phosphorylation
JARD2	Histone methylation
JDP2	#, Histone acetylation
JHD2C	Histone methylation
JMJD6	Histone methylation
KANL1	Histone methylation, Histone acetylation
KANL2	Histone acetylation
KANL3	Histone acetylation
KAT2A	Histone acetylation
KAT2B	Histone acetylation
KAT5	Histone acetylation
KAT6A	Histone acetylation
KAT6B	Histone acetylation
KAT7	Histone acetylation
KAT8	Histone acetylation
KDM1A	Histone methylation
KDM1B	Histone methylation
KDM2A	Histone methylation
KDM2B	Histone methylation
KDM3A	Histone methylation
KDM3B	Histone methylation
KDM4A	Histone methylation
KDM4B	Histone methylation
KDM4C	Histone methylation
KDM4D	Histone methylation
KDM4E	Histone methylation
KDM5A	Histone methylation
