	Coriell sample ID	 family pedID	 individual pedID	 father pedID	 mother pedID	 sex	Mito Haplogroup	Y chr Haplogroup 
66	NA12864	1459	1	9	10	1	H	R
67	NA12874	1459	11	0	0	1	J	R
68	NA12875	1459	12	0	0	2	H	NA
69	NA12865	1459	2	11	12	2	H	NA
70	NA12760	1447	9	0	0	1	H	R
71	NA12761	1447	10	0	0	2	U	NA
72	NA12752	1447	1	9	10	1	U	R
73	NA12762	1447	11	0	0	1	H	R
74	NA12763	1447	12	0	0	2	T	NA
75	NA12753	1447	2	11	12	2	T	NA
76	NA07034	1341	11	0	0	1	H	R
77	NA07055	1341	12	0	0	2	H	NA
78	NA07048	1341	1	11	12	1	H	R
79	NA06993	1341	13	0	0	1	H	R
80	NA06985	1341	14	0	0	2	U	NA
81	NA06991	1341	2	13	14	2	U	NA
82	NA12750	1444	13	0	0	1	T	HI
83	NA12751	1444	14	0	0	2	U	NA
84	NA12740	1444	2	13	14	2	U	NA
85	NA11881	1347	14	0	0	1	H	HI
86	NA11882	1347	15	0	0	2	J	NA
87	NA10859	1347	2	14	15	2	J	NA
88	NA12248	1416	11	0	0	1	U	R
89	NA12249	1416	12	0	0	2	H	NA
90	NA10835	1416	1	11	12	1	H	R
91	NA18500	4	1	3	2	1	L3e	E3a
92	NA18502	4	2	0	0	2	L3e	NA
93	NA18501	4	3	0	0	1	L1b	E3a
94	NA18503	5	1	3	2	1	L2	E3a7
95	NA18505	5	2	0	0	2	L2	NA
96	NA18504	5	3	0	0	1	L3e	E3a7
97	NA18506	9	1	3	2	1	L3b	E3a7
98	NA18508	9	2	0	0	2	L3b	NA
99	NA18507	9	3	0	0	1	L1b	E3a7
100	NA18860	12	1	3	2	1	L3b	E3a
101	NA18858	12	2	0	0	2	L3b	NA
102	NA18859	12	3	0	0	1	L2	E3a
103	NA18515	13	1	3	2	1	L2	E3a
104	NA18517	13	2	0	0	2	L2	NA
105	NA18516	13	3	0	0	1	L2	E3a
106	NA18521	16	1	3	2	1	L2	E3a
107	NA18523	16	2	0	0	2	L2	NA
108	NA18522	16	3	0	0	1	L2	E3a
109	NA18872	17	1	3	2	1	L2	E3a
110	NA18870	17	2	0	0	2	L2	NA
111	NA18871	17	3	0	0	1	L3b	E3a
112	NA18854	18	1	3	2	1	L3b	E3a
113	NA18852	18	2	0	0	2	L3b	NA
114	NA18853	18	3	0	0	1	L3e	E3a
115	NA18857	23	1	3	2	1	L1b	E1
116	NA18855	23	2	0	0	2	L1b	NA
117	NA18856	23	3	0	0	1	L2	E1
118	NA18863	24	1	3	2	1	L1	E3a
119	NA18861	24	2	0	0	2	L1	NA
120	NA18862	24	3	0	0	1	L3e	E3a
121	NA18914	28	1	3	2	1	L2	E3a
122	NA18912	28	2	0	0	2	L2	NA
123	NA18913	28	3	0	0	1	L3e	E3a
124	NA19094	40	1	3	2	2	L2	NA
125	NA19093	40	2	0	0	2	L2	NA
126	NA19092	40	3	0	0	1	L3e	E3a
127	NA19103	42	1	3	2	1	L2	E3a7
128	NA19102	42	2	0	0	2	L2	NA
129	NA19101	42	3	0	0	1	L2	E3a7
130	NA19139	43	1	3	2	1	L1	E3a
131	NA19137	43	2	0	0	2	L1	NA
132	NA19138	43	3	0	0	1	L3e	E3a
133	NA19202	45	1	3	2	2	L2	NA
134	NA19201	45	2	0	0	2	L2	NA
135	NA19200	45	3	0	0	1	L3e	E3a7
136	NA19173	47	1	3	2	1	L3	E3a7
137	NA19172	47	2	0	0	2	L3	NA
138	NA19171	47	3	0	0	1	L3e	E3a7
139	NA19205	48	1	3	2	1	L3e	E3a7
140	NA19204	48	2	0	0	2	L3e	NA
141	NA19203	48	3	0	0	1	L1b	E3a7
142	NA19211	50	1	3	2	1	L2	E3a7
143	NA19209	50	2	0	0	2	L2	NA
144	NA19210	50	3	0	0	1	L1b	E3a7
145	NA19208	51	1	3	2	1	L1b	E3a
146	NA19206	51	2	0	0	2	L1b	NA
147	NA19207	51	3	0	0	1	L1b	E3a
148	NA19161	56	1	3	2	1	L3	E3a
149	NA19159	56	2	0	0	2	L3	NA
150	NA19160	56	3	0	0	1	L3e	E3a
151	NA19221	58	1	3	2	2	L3b	NA
152	NA19222	58	2	0	0	2	L3b	NA
153	NA19223	58	3	0	0	1	L1b	E3a7
154	NA19120	60	1	3	2	1	L2	E3a
155	NA19116	60	2	0	0	2	L2	NA
156	NA19119	60	3	0	0	1	L3b	E3a
157	NA19142	71	1	3	2	1	L3	E3a
158	NA19140	71	2	0	0	2	L3	NA
159	NA19141	71	3	0	0	1	L3e	E3a
160	NA19154	72	1	3	2	1	L2	E3a
161	NA19152	72	2	0	0	2	L2	NA
162	NA19153	72	3	0	0	1	L3d	E3a
163	NA19145	74	1	3	2	1	L3b	E3a
164	NA19143	74	2	0	0	2	L3b	NA
165	NA19144	74	3	0	0	1	L3d	E3a
166	NA19129	77	1	3	2	2	L2	NA
167	NA19127	77	2	0	0	2	L2	NA
168	NA19128	77	3	0	0	1	L1b	E3a
169	NA19132	101	1	3	2	2	L1b	NA
170	NA19131	101	2	0	0	2	L1b	NA
171	NA19130	101	3	0	0	1	L2	E3a
172	NA19100	105	1	3	2	2	L2	NA
173	NA19099	105	2	0	0	2	L2	NA
174	NA19098	105	3	0	0	1	L3b	E3a
175	NA19194	112	1	3	2	1	L1b	E3a
176	NA19193	112	2	0	0	2	L1b	NA
177	NA19192	112	3	0	0	1	L2	E3a
178	NA19240	117	1	3	2	2	L3e	NA
179	NA19238	117	2	0	0	2	L3e	NA
180	NA19239	117	3	0	0	1	L2	E1
181	NA18526		1	0	0	2	E	NA
182	NA18524		1	0	0	1	D	F
183	NA18529		1	0	0	2	B	NA
184	NA18558		1	0	0	1	D	O
185	NA18532		1	0	0	2	D	NA
186	NA18561		1	0	0	1	B	O
187	NA18562		1	0	0	1	D	O
188	NA18537		1	0	0	2	B	NA
189	NA18603		1	0	0	1	B	O
190	NA18540		1	0	0	2	A	NA
191	NA18605		1	0	0	1	D	O
192	NA18542		1	0	0	2	C	NA
193	NA18545		1	0	0	2	B	NA
194	NA18572		1	0	0	1	A	O
195	NA18547		1	0	0	2	C	NA
196	NA18609		1	0	0	1	B	O
197	NA18550		1	0	0	2	E	NA
198	NA18608		1	0	0	1	E	O
199	NA18552		1	0	0	2	B	NA
200	NA18611		1	0	0	1	A	F
201	NA18555		1	0	0	2	B	NA
202	NA18564		1	0	0	2	B	NA
203	NA18566		1	0	0	2	C	NA
204	NA18563		1	0	0	1	B	O
205	NA18570		1	0	0	2	E	NA
206	NA18612		1	0	0	1	B	C
207	NA18571		1	0	0	2	B	NA
208	NA18620		1	0	0	1	B	C
209	NA18621		1	0	0	1	A	O
210	NA18594		1	0	0	2	D	NA
211	NA18622		1	0	0	1	C	O
212	NA18573		1	0	0	2	D	NA
213	NA18623		1	0	0	1	D	F
214	NA18576		1	0	0	2	D	NA
215	NA18577		1	0	0	2	E	NA
216	NA18624		1	0	0	1	B	O
217	NA18579		1	0	0	2	A	NA
218	NA18632		1	0	0	1	A	O
219	NA18582		1	0	0	2	E	NA
220	NA18633		1	0	0	1	D	O
221	NA18635		1	0	0	1	E	F
222	NA18592		1	0	0	2	B	NA
223	NA18636		1	0	0	1	E	O
224	NA18593		1	0	0	2	E	NA
225	NA18637		1	0	0	1	E	F
226	NA18942		1	0	0	2	C	NA
227	NA18940		1	0	0	1	E	D
228	NA18951		1	0	0	2	D	NA
229	NA18943		1	0	0	1	E	O
230	NA18947		1	0	0	2	B	NA
231	NA18944		1	0	0	1	D	D
232	NA18945		1	0	0	1	D	O
233	NA18949		1	0	0	2	B	NA
234	NA18948		1	0	0	1	B	D
235	NA18952		1	0	0	1	E	D
236	NA18956		1	0	0	2	E	NA
237	NA18964		1	0	0	2	A	NA
238	NA18953		1	0	0	1	E	O
239	NA18968		1	0	0	2	D	NA
240	NA18959		1	0	0	1	D	O
241	NA18969		1	0	0	2	E	NA
242	NA18960		1	0	0	1	B	D
243	NA18961		1	0	0	1	B	D
244	NA18972		1	0	0	2	D	NA
245	NA18965		1	0	0	1	E	O
246	NA18973		1	0	0	2	B	NA
247	NA18966		1	0	0	1	D	D
248	NA18975		1	0	0	2	B	NA
249	NA18967		1	0	0	1	D	D
250	NA18976		1	0	0	2	B	NA
251	NA18978		1	0	0	2	D	NA
252	NA18970		1	0	0	1	B	D
253	NA18980		1	0	0	2	D	NA
254	NA18995		1	0	0	1	D	D
255	NA18981		1	0	0	2	D	NA
256	NA18971		1	0	0	1	B	C
257	NA18974		1	0	0	1	B	C
258	NA18987		1	0	0	2	D	NA
259	NA18990		1	0	0	1	E	O
260	NA18991		1	0	0	2	B	NA
261	NA18994		1	0	0	1	C	F
262	NA18992		1	0	0	2	D	NA
263	NA18997		1	0	0	2	A	NA
264	NA18998		1	0	0	2	D	NA
265	NA19000		1	0	0	1	B	F
266	NA19005		1	0	0	1	C	O
267	NA18999		1	0	0	2	E	NA
268	NA19007		1	0	0	1	E	F
269	NA19003		1	0	0	2	E	NA
270	NA19012		1	0	0	1	unknown	unknown
