	Coriell sample ID	 family pedID	 individual pedID	 father pedID	 mother pedID	 sex	Mito Haplogroup	Y chr Haplogroup 
1	NA12003	1420	9	0	0	1	T	HI
2	NA12004	1420	10	0	0	2	H	NA
3	NA10838	1420	1	9	10	1	H	HI
4	NA12005	1420	11	0	0	1	K	R
5	NA12006	1420	12	0	0	2	H	NA
6	NA10839	1420	2	11	12	2	H	NA
7	NA12056	1344	12	0	0	1	U	R
8	NA12057	1344	13	0	0	2	V	NA
9	NA10851	1344	1	12	13	1	V	R
10	NA11829	1350	10	0	0	1	T	HI
11	NA11830	1350	11	0	0	2	U	NA
12	NA10856	1350	1	10	11	1	U	HI
13	NA11831	1350	12	0	0	1	H	R
14	NA11832	1350	13	0	0	2	H	NA
15	NA10855	1350	2	12	13	2	H	NA
16	NA11992	1362	13	0	0	1	U	HI
17	NA11993	1362	14	0	0	2	H	NA
18	NA10860	1362	1	13	14	1	H	HI
19	NA11994	1362	15	0	0	1	T	R
20	NA11995	1362	16	0	0	2	H	NA
21	NA10861	1362	2	15	16	2	H	NA
22	NA12154	1408	10	0	0	1	J	R
23	NA12236	1408	11	0	0	2	V	NA
24	NA10830	1408	1	10	11	1	V	R
25	NA12155	1408	12	0	0	1	H	R
26	NA12156	1408	13	0	0	2	U	NA
27	NA10831	1408	2	12	13	2	U	NA
28	NA07357	1345	12	0	0	1	U	R
29	NA07345	1345	13	0	0	2	H	NA
30	NA07348	1345	2	12	13	2	H	NA
31	NA06994	1340	9	0	0	1	U	HI
32	NA07000	1340	10	0	0	2	T	NA
33	NA07029	1340	1	9	10	1	T	HI
34	NA07022	1340	11	0	0	1	U	F
35	NA07056	1340	12	0	0	2	W	NA
36	NA07019	1340	2	11	12	2	W	NA
37	NA11839	1349	13	0	0	1	U	R
38	NA11840	1349	14	0	0	2	H	NA
39	NA10854	1349	2	13	14	2	H	NA
40	NA12043	1346	11	0	0	1	T	R
41	NA12044	1346	12	0	0	2	J	NA
42	NA10857	1346	1	11	12	1	J	R
43	NA12144	1334	10	0	0	1	H	R
44	NA12145	1334	11	0	0	2	K	NA
45	NA10846	1334	1	10	11	1	K	R
46	NA12146	1334	12	0	0	1	H/V	HI
47	NA12239	1334	13	0	0	2	H	NA
48	NA10847	1334	2	12	13	2	H	NA
49	NA12264	1375	11	0	0	1	H	R
50	NA12234	1375	12	0	0	2	J	NA
51	NA10863	1375	2	11	12	2	J	NA
52	NA12716	1358	11	0	0	1	H	R
53	NA12717	1358	12	0	0	2	H	NA
54	NA12707	1358	1	11	12	1	H	R
55	NA12891	1463	15	0	0	1	H	HI
56	NA12892	1463	16	0	0	2	H	NA
57	NA12878	1463	2	15	16	2	H	NA
58	NA12812	1454	12	0	0	1	H	R
59	NA12813	1454	13	0	0	2	U	NA
60	NA12801	1454	1	12	13	1	U	R
61	NA12814	1454	14	0	0	1	U	R
62	NA12815	1454	15	0	0	2	H	NA
63	NA12802	1454	2	14	15	2	H	NA
64	NA12872	1459	9	0	0	1	H/V	R
65	NA12873	1459	10	0	0	2	H	NA
