GENE	P
HFE	1.29E-08
FGF6	1.99E-06
KRTAP15-1	7.55E-05
XKR7	0.00011809
CABLES2	0.000127722
THOC5	0.000138474
CABYR	0.000253982
CMSS1	0.000308677
PCDHB2	0.000376816
ZFP37	0.001067277
C3orf30	0.001156088
DENND5B	0.00128594
MRS2	0.00129915
BCLAF1	0.001686162
NBPF3	0.001792539
BRDT	0.002314705
CAMKK1	0.002331674
CELSR3	0.002352693
UHRF1BP1L	0.002352693
10-Mar	0.002405514
LCN15	0.002415977
MAVS	0.002549592
ERCC6L2	0.002567237
CAMK1D	0.002603413
RHOF	0.002603413
PDZD9	0.002603413
PSD3	0.002644891
AFAP1	0.002885091
URAD	0.002906338
SLC1A4	0.003019077
ERC2	0.00303187
DEPDC4	0.00303187
PCDHB3	0.004050201
ZNF773	0.004392944
NCAN	0.004480902
COQ10A	0.004709484
CBLC	0.004709484
SLC4A4	0.004755025
KRT2	0.00488658
ALDH18A1	0.004892633
TM6SF2	0.004943381
STAT2	0.005182567
MYH10	0.005200425
ZNF85	0.005629304
ZNF772	0.0056564
UBASH3A	0.005905711
FCRL3	0.006395892
TMEM225	0.006456931
MYBPC1	0.00667043
LYRM2	0.007033817
TTC21B	0.007540816
FAM221A	0.007569004
PTPRC	0.007791048
LAMTOR5	0.007796829
STAB1	0.008061354
ZNF461	0.008761613
CYP1B1	0.008857009
CAMTA2	0.009062518
GPR128	0.009067578
MTAP	0.009168667
TMEM260	0.00917262
BTNL2	0.009258516
CORO7,CORO7-PAM16	0.009393199
C10orf113	0.009670976
FILIP1L	0.01030343
TBC1D9	0.0103753
GRAMD1A	0.0103753
UBAP2	0.010817487
TSPYL6	0.011210437
SLCO4A1	0.011549902
RNF213	0.012288269
ASB15	0.012757369
ABHD15	0.012909347
SPINT2	0.012953193
NTN4	0.013188931
GABBR2	0.013556823
FLVCR1	0.013708234
EXOC6	0.01406426
C1orf177	0.015518688
NT5C	0.015524744
MPP3	0.01587745
SH2B3	0.016455113
ARHGAP9	0.016964657
GPLD1	0.017023739
C8A	0.01716299
HERC1	0.017307067
TRAF3IP1	0.017912541
FOXK2	0.018089966
CASP9	0.018199893
OR51B5	0.018301059
SYCE1L	0.01842845
ARSG	0.018826356
OR52K1	0.018829882
PANX1	0.01950693
GLI1	0.019816737
C22orf24	0.020115255
CDCP2	0.020130023
B4GALNT4	0.020648875
SETD9	0.020833323
KIF17	0.02102134
CHGB	0.021343585
KRT73	0.02144319
SLC35C1	0.021929949
TIMM50	0.022420135
BTN1A1	0.022834711
GTSF1L	0.023201484
TAX1BP1	0.023334477
ANXA4	0.02342157
FAM186A	0.024210111
TBC1D1	0.0243057
KRT76	0.024799445
SSX2IP	0.024891973
AKNAD1	0.0249744
MICAL3	0.02525972
OSBPL6	0.025747809
GNB1L	0.025747809
RPF1	0.025755932
PVRIG	0.026106147
DPYD	0.026260309
POLI	0.026562316
GGH	0.026679003
PSME4	0.027327413
KLF11	0.028277497
NDFIP2	0.028277497
PES1	0.028287864
ABCD4	0.028876654
AP4E1	0.029587067
CAND2	0.030014478
GALNT14	0.030072176
TBC1D10A	0.030363837
CAST	0.030390777
OSMR	0.030529381
CRTAC1	0.030821663
RMDN3	0.030821663
SLC10A2	0.031429716
FAM83A	0.032015251
DOCK1	0.033056278
HEATR2	0.033101604
GRIK1	0.033349222
CEP135	0.033496703
CLEC4C	0.033496703
SH3RF2	0.03365414
TOP1MT	0.033768722
ZNF804A	0.033882238
ZNF462	0.034033397
C14orf159;C14orf159	0.034156041
FTSJ3	0.034337095
MCMDC2	0.035276683
OR10S1	0.035293933
SLCO6A1	0.035522594
AIPL1	0.035737544
CC2D2A	0.035870554
COG4	0.035870554
RABEP1	0.035870554
PTPRN2	0.03634622
HCRTR2	0.037027181
MAPK8IP3	0.037027181
SEMA5B	0.037353399
MCM7	0.037384061
AGT	0.037793359
AVPR1B	0.038385675
PANK1	0.038385675
CHRNB4	0.038385675
MSGN1	0.038516383
DDN	0.038619176
DAW1	0.039007292
ZFPM1	0.039282772
MAPK4	0.039282772
CD33	0.039679474
TMEM244	0.040254311
PARD3B	0.041050612
ZNF316	0.041754521
PTPLA	0.041782576
TP53AIP1	0.042079778
APOBEC4	0.042188637
ZMIZ2	0.042289348
CCDC71	0.042363917
EFCC1	0.042432542
OR5A2	0.042544093
KRTAP27-1	0.043171176
KLHL32	0.043397337
PRSS16	0.043397337
CCDC157	0.043397337
TSC22D2	0.043572127
EMILIN3	0.044195975
PRSS55	0.044324187
DCAF11	0.044614669
MCTP2	0.044913385
C10orf71	0.044916053
ZMYND12	0.045144135
AMICA1	0.045300259
METTL20	0.045893907
CPPED1	0.045893907
OR51I1	0.046119971
PKN1	0.046584617
CRACR2B	0.047013518
LRIT3	0.047535571
DLGAP2	0.047789887
PKP1	0.0478428
GJB4	0.048384324
ANKDD1B	0.048384324
LRRC43	0.04859004
MTUS2	0.049117526
VWF	0.049181372
KIF18A	0.04948605
EPG5	0.049674144
ARID3C	0.050131262
JMY	0.050366762
NMI	0.050371722
OXNAD1	0.050371722
MAST4	0.050868599
DNAH5	0.050977244
OR2W3	0.051210265
LTN1	0.05190612
STARD13	0.052025821
