GENE	P
DIEXF	0.052032366
PBX1	0.052414937
RAD21L1	0.052562311
MANBA	0.052731556
TMC6	0.052805518
OR2D3	0.052885453
GTDC1	0.053224288
MRPL45	0.053346749
SPNS3	0.053786127
C17orf74	0.053991844
HPSE	0.054382469
EFCAB5	0.054396738
KCNH2	0.055179695
PCDHB16	0.055818787
FABP6	0.056288536
ZNF548	0.056338477
LIPG	0.058260859
KMT2C	0.058284728
THEG	0.058284728
RRP12	0.058430456
KRTAP12-3	0.058567474
SPATA6	0.058865042
MYO1H	0.059301701
TBC1D8	0.060159253
ZNF79	0.060181247
NSD1	0.060428578
CES5A	0.060428578
LARS	0.060739254
PNPT1	0.060744585
KCNQ5	0.060744585
NCKAP1L	0.060744585
MYBBP1A	0.060744585
ANXA9	0.061120275
SCEL	0.062512097
LONRF2	0.062747906
OR14C36	0.063265636
ACP2	0.063275811
DNAAF2	0.06347011
ZAK	0.063485997
HSPG2	0.063919024
DUOX1	0.064067037
ABHD1	0.064620632
BCO1	0.064706157
ST5	0.065190224
IQCG	0.065328956
WHAMM	0.065328956
C14orf39	0.065542914
PIK3CA	0.065646105
SLC24A4	0.065646105
GCKR	0.065867555
ARHGEF3	0.066198806
ANKEF1	0.066198806
OXA1L	0.066753718
LRRC56	0.067300541
USP2	0.068087797
MPHOSPH10	0.06818817
SLC6A17	0.069374015
KDM4D	0.070960144
MROH7	0.071088887
CLIP4	0.0710917
OR7G3	0.071233074
OR13D1	0.071867762
GGT6	0.072264226
MLC1	0.072558478
BECN1P1	0.072615714
CAPN7	0.072953112
PGM2L1	0.073476873
DYNC2H1	0.07362618
SNTG2	0.074189411
COBL	0.074257037
GPR56	0.074398349
MAN2B1	0.074484143
SRGN	0.074777674
SLCO1B3	0.076269632
MRPS27	0.07639058
TBC1D17	0.076933401
RBM47	0.07695701
ELF1	0.077182779
TCIRG1	0.077794431
RNF113B	0.077794431
PRRT3	0.078373295
UMPS	0.078525985
OR6X1	0.078525985
CCDC34	0.079974676
KDELR3	0.080071757
ACVR1C	0.080206126
HSPBAP1	0.080206126
REST	0.080206126
GGN	0.080206126
LPIN3	0.080760403
PILRA	0.080802861
OR51F1	0.081190603
ZNF214	0.081190603
CCDC153	0.081724506
PDILT	0.081961169
WDR87	0.081989852
BRICD5	0.08207587
MMRN1	0.082611864
SMPD1	0.082693868
EMID1	0.083103401
LSG1	0.084136491
WDR66	0.084136491
ZNF527	0.084647915
ZNF671	0.084647915
C4orf19	0.084648284
EFTUD1	0.085011659
BEST2	0.085011659
DUSP13	0.085458823
LUZP1	0.086201573
MRPL28	0.086201573
OR2G3	0.086286189
FAT4	0.08650303
ANKRD33	0.087120497
WNK1	0.087396848
CAPN1	0.087405524
GPR179	0.087405524
MYOM2	0.087897104
DRD3	0.088307396
CCDC107	0.088619261
FAM181A	0.088684812
OR5AN1	0.088691801
RABGGTA	0.089030059
NUDT6	0.089463215
SIGLEC8	0.089793473
IL37	0.090238098
ITGA7	0.090474971
OR51B6	0.090990572
FCRL4	0.091709612
ZNF365	0.092027283
C2orf88	0.092160905
RSF1	0.092160905
DNASE1L3	0.092175519
PXT1	0.092190438
DNAJB11	0.092505189
GSTM3	0.092583494
ASTL	0.092789618
GCFC2	0.092809637
BAZ2B	0.094212394
ADRB2	0.09439768
NLRC3	0.094551678
IQCE	0.094825206
ENO3	0.094825206
PCDHB11	0.094904664
MS4A14	0.094929538
ARHGEF26	0.095245616
C4orf33	0.095245616
MLPH	0.095764085
CENPF	0.096028851
SLC4A1AP	0.09629527
SREBF2	0.097326895
SETDB2	0.098176238
MTHFD1	0.09867336
SNAP47	0.09867521
KLHL5	0.098900742
VWA8	0.098988831
CPB2	0.099275545
TTR	0.099286384
COL6A1	0.099396397
TPR	0.099427797
CDH12	0.099427797
KLHL38	0.099427797
TFPI	0.099804809
HPS4	0.100180059
PHC2	0.100485546
FHOD3	0.100624166
OR10Z1	0.101548129
OR10J3	0.101644959
GRID2	0.101644959
TNS3	0.101644959
ARNTL2	0.101644959
ABCC8	0.101733083
FAM114A2	0.10242774
VILL	0.103036456
OR5H6	0.103102425
PABPC1L	0.103151012
PNPLA3	0.103636729
ATP6V1C2	0.103824823
CLIP1	0.103824823
C4orf22	0.103860561
SLIT1	0.1039977
ZNF230	0.104686595
OR5B3	0.104879419
FSIP2	0.105890602
ITGA11	0.106020234
TNXB	0.10617441
BPIFA3	0.10617441
SMTN	0.106344392
PHLDA1	0.106344621
DLAT	0.107006013
ATF5	0.1070286
TAS1R2	0.107589095
CETP	0.107723977
URB2	0.107886936
CTDP1	0.108009736
EEA1	0.10807799
ECE1	0.108685736
NEFM	0.108685736
N4BP2L2	0.108845203
LRRC25	0.109429378
TECPR1	0.109682514
CALCOCO2	0.109857784
ASAH1	0.110196106
CAPN9	0.110717055
FAN1	0.11076667
ABCA9	0.111021057
ALKBH7	0.111021057
WDR91	0.111324811
MIA3	0.111362614
CDPF1	0.111362614
RHBG	0.1124053
CUBN	0.112479435
TJP3	0.11312401
ASAP2	0.113314464
MYBPHL	0.113350598
KIT	0.113350598
DDIAS	0.113715113
OR5B17	0.114261207
VPS13C	0.114650718
SNX31	0.114902837
CHID1	0.115200917
AKAP3	0.115594179
ITPA	0.115674374
HSPA1L	0.115742784
CALCR	0.116069015
TCOF1	0.116114759
SP140L	0.116290081
SUGP2	0.11635355
AOC1	0.11723447
HELZ	0.117299044
GFY	0.11748342
STK36	0.117611867
GABRR1	0.117611867
SLC4A11	0.117611867
ALMS1	0.117984095
C20orf96	0.117984095
GALNT12	0.117992396
SLC16A12	0.117992396
REV3L	0.118050023
COG3	0.118050023
OR4D6	0.118152062
HIVEP1	0.118359851
OR51Q1	0.118359851
UPK1A	0.118510121
GRAMD3	0.118617734
OR4D2	0.118617734
CLDN24	0.119010742
ROR2	0.119042054
LRP2	0.119275929
CFAP36	0.12030468
MINA	0.120338545
COG6	0.120627564
UVSSA	0.120831583
TTC22	0.121472788
TTLL3	0.121590865
ITGA8	0.122611237
DEF8	0.122611237
ELP2	0.123301671
LRRTM1	0.124185764
TIAM2	0.124185764
ZNF554	0.124185764
ALOX15B	0.12435669
TMEM89	0.124912082
RAD18	0.124934723
CHSY1	0.125053952
SLC3A1	0.125360641
ZNF283	0.125817853
CDH23	0.126055328
CLCC1	0.126680158
DIS3L	0.12673461
OR2F1	0.127207227
ATP5O	0.127207227
CDH9	0.127500115
TET2	0.127565289
C21orf33	0.127668004
PSMD9	0.128115557
SSTR4	0.128139815
FPR1	0.12814471
RB1CC1	0.128452031
C5orf58	0.128770247
SLC38A9	0.129040049
TAF3	0.129134193
ADRA1A	0.129185191
ZNF750	0.12941848
PDE4A	0.12941848
MYLK4	0.129496686
RRM2B	0.129496686
KPRP	0.129610339
TTLL2	0.129610339
PRDM2	0.129922323
ACER3	0.130199514
KAT8	0.130898252
OR5A1	0.131364715
KIAA0226	0.131780473
ECHDC3	0.131780473
NMRAL1	0.131780473
AIM1L	0.133597994
ATP10B	0.133821147
MAN2A1	0.133821147
ACADSB	0.1340586
MTMR3	0.1340586
KIAA1107	0.134179463
KCNH6	0.134352628
CDON	0.134481694
ZFYVE28	0.134706118
PWP2	0.134706118
TMPRSS11E	0.134950017
PTCH1	0.135597042
SH3TC1	0.136331081
SLC45A1	0.136480398
PDIA6	0.137349655
ATR	0.137714981
CD5	0.137864432
ASCC2	0.138597928
HIST1H1T	0.138789597
PTPRB	0.13880192
SPG7	0.139152478
SLC52A1	0.139152478
AHNAK2	0.139460773
DUSP11	0.139890162
ADD1	0.140045965
OR10A6	0.140258282
TBX15	0.140940829
KRT71	0.14157742
FBXO39	0.141587319
WDR41	0.142458013
QPRT	0.142734638
PRX	0.142861696
OXSR1	0.143114776
PTK2B	0.143195295
PRRC2B	0.143195295
KIF2B	0.143564691
CD44	0.143633559
TECPR2	0.144243078
CST1	0.144243078
POPDC2	0.144675898
ITGAL	0.145257649
TMEM175;TMEM175	0.145364803
MOGAT2	0.145419212
ITSN2	0.145707162
GOSR2	0.146196635
TARBP1	0.14648876
ZNF614	0.14648876
MINK1	0.146610819
TBC1D2	0.147105737
MMP14	0.147242409
DBT	0.147609249
TTC24	0.147723659
MAML1	0.148161709
TTLL6	0.148342521
UBR4	0.148412482
TRUB1	0.148412482
SYT16	0.148654767
GATM	0.14896232
RSPH1	0.149054567
ATF6	0.149583052
PCK2	0.149848128
CCDC105	0.151628028
F5	0.152126043
NLRP14	0.153392403
ALKBH3	0.153954024
ARHGEF17	0.154309233
IQCF6	0.155211078
TRIM7	0.155211078
MTIF2	0.155436134
CCDC82	0.155436134
ETV3L	0.156352587
NUP133	0.156352587
SLX4	0.156531486
OR10J1	0.156639614
ZNF853	0.157582573
PCK1	0.158369386
ECM1	0.158574865
SDR39U1	0.158748224
TYK2	0.159003706
TRPA1	0.159528537
EPB41L4B	0.159638905
MRGPRF	0.159638905
ABCA6	0.160188805
INPP5A	0.160952115
TNIP1	0.160959458
GEN1	0.161196561
PRCC	0.161875396
UBAC1	0.162188416
LRGUK	0.163165202
UBP1	0.163468351
PCDH8	0.163725242
ATP10D	0.165951927
OVGP1	0.1662351
CDC42BPG	0.166945533
BSN	0.167033206
DEFB127	0.167386366
KRT7	0.167437773
DFFB	0.167560271
NCOA3	0.167560271
H1FNT	0.167833212
PINLYP	0.168368516
OC90	0.16862198
IRAK2	0.168718899
NPR3	0.169300283
FAM120AOS	0.170510677
GIP	0.170648146
TRIM9	0.171430789
SCD5	0.171456655
LGALS14	0.171557308
MORC1	0.171861614
PINK1	0.171869969
DNAH10	0.171882288
SPOCK3	0.171933533
LARP1B	0.17208159
LRG1	0.17208159
CDKL1	0.172334325
COL16A1	0.172606514
SMC6	0.172606514
CD6	0.172786897
SLC10A6	0.173037364
C17orf47	0.173037364
LYPD5	0.173486134
IYD	0.174112018
METTL25	0.174112018
MKKS	0.174112018
LRRC6	0.174147824
PCDH15	0.174185123
DOPEY2	0.174911766
CHTF18	0.175138184
FUCA2	0.175240712
OAF	0.175850396
MTERF4	0.17628509
TESPA1	0.17628509
ATP5S	0.176426678
ZNF683	0.177168551
VMO1	0.177168551
SENP2	0.177890725
ZHX3	0.178671874
OR51S1	0.178679022
ZNF83	0.178718736
ZNF223	0.178955114
ZNF518B	0.17908613
LRSAM1	0.179614195
ZDHHC13	0.17974684
DNMT3L	0.17974684
DKK2	0.180615043
ATP8B1	0.180615043
PTPRA	0.180615043
ALPK3	0.181023884
GPR151	0.181501519
ZNF441	0.181501519
BAAT	0.181733559
OVCH1	0.181999816
BHLHE22	0.182397317
SEC14L6	0.182446502
ACAD11	0.18277195
ZC3HAV1L	0.18277195
SHPK	0.18277195
GLP1R	0.182931661
PCSK9	0.183392351
PLD2	0.183392351
PIK3R3	0.1843931
OR1L8	0.18473906
OMA1	0.184923494
RBP5	0.184923494
LMBRD1	0.185205769
IGSF22	0.185484964
SERPINA11	0.186140717
PON1	0.186748065
CFAP61	0.186748065
MAP3K1	0.187064532
TACR2	0.187184216
ZC3HAV1	0.187736081
PCDHB6	0.189075775
NACA	0.189733497
QRICH2	0.189747632
NLRP6	0.190036727
RNASEL	0.190270738
SBSN	0.190824493
PALD1	0.191093489
PPP2R3A	0.19131909
IGFBP1	0.19137087
ITGA6	0.191767482
NCR3LG1	0.192896325
CCDC102B	0.193217142
C3orf70	0.193476289
PTPN13	0.193692892
LIPK	0.193851054
LRR1	0.193851054
FMN1	0.19437221
CCDC178	0.195601205
DRICH1	0.195601205
AGGF1	0.195826125
WDR49	0.196314291
USP6	0.196564575
FNDC9	0.196719693
SPEG	0.196866421
PROK1	0.197036897
ATP1A4	0.197720833
ZSWIM2	0.197720833
USP19	0.197720833
WDR73	0.197720833
METRNL	0.197720833
MAD1L1	0.197972379
MYO16	0.197996716
CPED1	0.198729217
MLXIP	0.198958472
ZYG11A	0.199080588
SPARCL1	0.199080588
GREB1	0.199179007
FCGBP	0.199594813
MAP3K6	0.19959809
MMP9	0.200191033
PCDHA4	0.200468679
PPID	0.201275845
NCR2	0.201371281
DTX3L	0.201855277
CCDC36	0.201944274
SLC26A6	0.201944274
IPP	0.201960051
PCDHA3	0.202214983
ERLIN1	0.202652623
SCARF1	0.203310119
COL19A1	0.204048111
FRMPD1	0.204400389
CINP	0.204703378
VWDE	0.205121736
TTC16	0.205287348
RNF212	0.205390817
SETX	0.206078892
SAPCD1	0.20614671
RGS3	0.20614671
ZFP69B	0.206327201
DYTN	0.208025635
GUSB	0.208190173
GPA33	0.208240082
ZNF154	0.208256521
MTCL1	0.209171767
NIF3L1	0.210188278
NUP210L	0.210220512
IQGAP3	0.210283439
HCLS1	0.210283439
CYP2C8	0.210328241
TRPC6	0.210328241
LIPI	0.210838488
ZNF142	0.211140472
DEPTOR	0.211140472
SIGLEC9	0.211140472
ZFHX2	0.211155047
ZNF273	0.211940009
RREB1	0.212127567
TTF1	0.212411197
P2RX4	0.212411197
PODN	0.213116477
KRT3	0.213117487
COL6A5	0.21368873
MMP20	0.213976638
HRG	0.214178163
STK32B	0.214488963
SCYL2	0.214488963
DNMBP	0.214824121
EHMT2	0.215394022
ZNF286A	0.215394022
CNDP2	0.215997444
ASCL3	0.21653535
HKR1	0.217171828
APOB	0.217534482
ADO	0.218087978
PEMT	0.218151897
FASTKD1	0.218587572
CMTM2	0.218628974
APBB2	0.218909407
GIPR	0.218909407
PIGQ	0.219087607
HNF4G	0.219588081
ZNF222	0.219968733
CHD9	0.219971408
PIDD1	0.220044655
CDH4	0.220498721
RAI1	0.220669379
CACNG1	0.220691244
TNFRSF13B	0.220691244
CISD3	0.22085329
MBD1	0.22085329
HLA-DPB1	0.221370587
POLG2	0.222748372
NFXL1	0.222774672
TAOK3	0.222774672
CPB1	0.222799151
HUNK	0.222799151
CENPBD1	0.224180962
PKP2	0.224746923
CREB3L4	0.224884925
MEGF11	0.225589429
C15orf41	0.225978177
SCFD2	0.226316835
RNF17	0.226316835
PROB1	0.226847253
ADCK2	0.226847253
CEP55	0.227000046
TXNDC11	0.228162265
GJA9	0.228670456
TRPM6	0.22873888
PRKCDBP	0.229179066
TEKT1	0.229624271
HSD17B14	0.229624271
NAAA	0.229802369
CCDC186	0.230601032
C9orf43	0.230925713
OR6A2	0.231244532
SLC28A2	0.231551432
PANK4	0.231578203
GLCE	0.231578203
ODF4	0.233370559
CYB5R2	0.233533747
UBE2J1	0.234475699
KCNJ11	0.234475699
PKD2L1	0.234983848
DOK7	0.235490837
ALKBH1	0.235490837
EGF	0.235828537
LECT2	0.236235676
PIFO	0.237005323
NOXO1	0.237005323
ZNF215	0.237372782
BAHD1	0.238508645
SLC12A7	0.238977955
IL15RA	0.238977955
AKAP1	0.239021753
POLDIP3	0.239021753
RINL	0.239177847
ABCC6	0.239474963
PLBD1	0.239603666
CA9	0.241033149
RNASE7	0.241033149
ABCG8	0.243065513
PSMB7	0.243065513
PLXNA2	0.243585377
CPT2	0.243691012
ZNF404	0.244637935
CLTCL1	0.245111931
GRHL1	0.245297249
SLC7A2	0.245297249
SLC5A11	0.245586281
STEAP2	0.245668674
ECH1	0.245668674
ZNF45	0.247011451
NDUFS2	0.247037254
PDE2A	0.247037254
BCL2L13	0.247037254
PCDHGB6	0.247262285
RNF215	0.247262285
MAPT	0.24767912
RPS6KA2	0.248245222
GCAT	0.248399173
CTCFL	0.248664925
CAMTA1	0.249028634
PEX11G	0.249840569
TPO	0.249842167
SPPL2C	0.249853473
GSDMB	0.24987126
HSPB9	0.250211896
ZC3HC1	0.25038821
RTKN2	0.250455577
ZNF180	0.250903412
RASIP1	0.251305854
LAD1	0.251784741
FAM154B	0.251784741
TEKT3	0.251996631
C1orf94	0.252179587
ZNF638	0.252179587
CCDC176	0.252743545
INCA1	0.25299648
COL6A3	0.253339878
T	0.253703715
SHROOM3	0.253788278
FAM24B	0.254589767
GPT	0.254665244
PPIL3	0.254972971
GEMIN4	0.255628127
SEC31B	0.256117779
ENPP4	0.256592356
OR52J3	0.256592356
ZNF497	0.256704224
DAK	0.256944521
GALNT9	0.256944521
MAN2B2	0.257074973
C16orf46	0.25710287
SFTPB	0.257641012
USP24	0.258088163
GBP2	0.258523732
NDUFAF1	0.258523732
UAP1L1	0.258858969
MORN2	0.258911144
ADCYAP1	0.259073652
CHUK	0.259493053
SLC7A13	0.260059328
XIRP1	0.260703426
MS4A13	0.260872849
CPT1B	0.260872849
OR2AG2	0.260950168
DDHD2	0.261045185
VNN1	0.261273705
ABHD17A	0.261878317
ERMARD	0.263017412
ZNF235	0.263615196
GHR	0.26414923
ZCCHC6	0.26414923
CMYA5	0.264683603
TACSTD2	0.264781557
SLC16A6	0.264781557
CCDC54	0.264990276
LCA5L	0.264990276
SP110	0.266307206
CARD6	0.266728583
MUC17	0.267775568
OR6S1	0.26789691
TTC29	0.268552885
SLC6A19	0.268670738
DCSTAMP	0.268670738
ZNF777	0.268756054
ATXN3	0.268937692
KRT32	0.270186808
POLA2	0.270608034
CELA1	0.270918733
KIAA0319	0.271122149
TM7SF2	0.271122149
UBQLN3	0.271122149
WFDC8	0.271122149
VSTM1	0.27166083
SSMEM1	0.27189951
PRKCSH	0.27189951
ZNF578	0.27189951
ENPP5	0.272197586
NOP14	0.272199835
PIGG	0.272540483
CAMKK2	0.272540483
IQCB1	0.272886985
FAM47E,FAM47E-STBD1	0.273278809
ZPBP2	0.273677157
PRND	0.273677157
ID3	0.273874551
FBXO40	0.273874551
PIK3AP1	0.27404527
LRRCC1	0.274468095
ADAM19	0.275269489
LRMP	0.275654183
WDR93	0.275981812
CAPN13	0.276051326
ZNF616	0.276390883
KCNU1	0.276523358
COL6A6	0.276785819
HCRTR1	0.277721841
GGCX	0.278255722
CCR8	0.278255722
GM2A	0.278335734
APC	0.279801457
DLC1	0.280120032
TRAK2	0.281935686
OR52N1	0.281935686
FAM71B	0.282130411
ZNF488	0.282130411
PCDHB8	0.2826418
SARDH	0.28325819
CNPY3	0.283753684
LRP5	0.284034014
ENTPD6	0.284147112
ADARB2	0.284884809
SERPINI2	0.285726771
NUP210	0.285729386
POLM	0.285729927
TEX101	0.285932848
VMAC	0.285932848
TUBD1	0.286323397
OR10R2	0.286535448
BAG3	0.286718059
IL17RA	0.286718059
SWT1	0.287418227
CCDC91	0.287581329
CKAP2L	0.287615597
C19orf53	0.287706188
USHBP1	0.287706188
PIK3R1	0.287826925
PHACTR2	0.287826925
CCDC171	0.289122366
VPS37C	0.28931662
KATNAL2	0.289438509
CLDN16	0.289682417
AMPD1	0.289716257
PRDM14	0.289716257
F13A1	0.290056163
ZNF57	0.29016032
PIEZO2	0.290631629
EFCAB6	0.290631629
CHAT	0.290670503
GNLY	0.290678062
ADPRM	0.290709589
ANKUB1	0.291298263
WSB1	0.291298263
RAB11FIP1	0.291536003
GSG2	0.291536003
BTBD11	0.291600854
NPC1	0.29293367
ACSM6	0.293386226
ZFAND4	0.293480728
KL	0.293480728
BTBD16	0.293657543
ATP8B4	0.295025294
MAN2A2	0.295239843
UGT3A1	0.29535589
KLRG2	0.29535589
ZNF3	0.29535589
NPW	0.295981314
SPATA19	0.296269815
WDR92	0.296598235
OR5K3	0.29722635
TMEM207	0.29722635
MTX3	0.29722635
C1S	0.29722635
MIPEP	0.29722635
ZMYM5	0.29722635
SPATA18	0.298207081
MMS22L	0.298573699
RNASE6	0.298573699
SLC44A3	0.29956132
VPS13D	0.29956132
SGSM2	0.300089095
CECR1	0.300434813
NPAS2	0.300633927
DFNA5	0.300953213
CTU1	0.300953213
KIAA1456	0.302523667
FAM120B	0.302809637
KNTC1	0.302809637
ZNF501	0.303417743
DNALI1	0.303510924
SLFN12L	0.303758793
MYO18A	0.303973408
OR13C9	0.304498076
SEMA4B	0.304661404
FAM208A	0.306198567
WDFY4	0.306385625
ACER1	0.306508526
ZNF606	0.306508526
ROCK2	0.307312629
MYPN	0.308344571
SH2D4A	0.308351012
RASSF6	0.308445508
ABCC10	0.308445508
SLFN5	0.308985546
GSTO1	0.309363799
LNX2	0.310102027
KCNJ15	0.310102027
ETNK2	0.310188875
ETFDH	0.310188875
ABCA5	0.311219458
RAD51AP2	0.311282999
SEZ6L	0.311404687
TTLL12	0.311404687
MYH15	0.312009505
LRRC8C	0.312022125
SP140	0.312022125
EP400	0.312022125
SWAP70	0.312345952
CAPN11	0.313091904
OR2T1	0.313457131
C15orf52	0.313850772
RHCG	0.313850772
RAD51D	0.313850772
ARMS2	0.314362501
WDR25	0.314362501
RPGRIP1	0.314481221
KCNJ13	0.315330707
AP1G2	0.315674829
TBX4	0.315674829
RIF1	0.31607728
TOPBP1	0.31607728
CCDC66	0.316259392
STAP2	0.316259392
SI	0.316317186
DNAH12	0.316333543
PTCRA	0.316333543
ANO2	0.317318797
ARRDC2	0.317318797
SEC14L4	0.317318797
SYT14	0.317494305
ALDH5A1	0.317570869
PRSS54	0.317943446
NPSR1	0.317996202
ZNF7	0.318208504
SNX19	0.318208504
FOXA1	0.318208504
TRIP11	0.318317879
TINAG	0.318839353
TBC1D26	0.318839353
MGAT5B	0.319309211
DISP2	0.319456975
ZNF594	0.319629482
LACTB	0.319812314
SLC15A2	0.320191929
KLK2	0.320273426
RFTN1	0.321119559
LAG3	0.321996594
STEAP4	0.322054965
UNC13A	0.322443857
GDF1	0.322628628
WDYHV1	0.32280277
SYNGR1	0.32280277
TRMT13	0.322925359
NT5C2	0.322925359
OR10X1	0.323007368
TGOLN2	0.323043875
PLA2R1	0.323155204
DDX51	0.323550698
FBXW12	0.323571088
LCA5	0.32389327
OLFML2A	0.325046909
CLEC2A	0.325046909
C7orf72	0.325158663
SERPINA1	0.325795188
ZNF112	0.326424794
LAMC1	0.326957731
ZNF80	0.326957731
METTL22	0.327292076
REXO1	0.327292076
DALRD3	0.328143178
AKAP9	0.328325342
NOD1	0.329125854
EBLN1	0.329125854
KRT74	0.329125854
BCL6	0.330103294
IDUA	0.330103294
SEBOX	0.33010828
MFRP	0.3310361
ZC3H3	0.331484433
VANGL1	0.331886515
TTC37	0.331886515
CRISP1	0.331886515
MCUR1	0.331886515
RNF111	0.332051142
ODF3L1	0.332072366
BTNL8	0.332131132
ITGAE	0.332618039
ANP32E	0.332766018
ART3	0.333054014
CDC20B	0.333054014
ZNF607	0.333054014
CHI3L1	0.333185125
C11orf16	0.333401068
TRABD2A	0.333665252
WDR55	0.334035393
CFAP58	0.334035393
FLT3	0.33403628
CCDC181	0.334782422
AADACL2	0.334782422
LAPTM5	0.335016497
TTC7A	0.335439516
ZNF471	0.336023331
CFAP57	0.336578708
TMPRSS11A	0.337031175
CDRT1	0.337209318
